,funcao,tempo_exp,skill,data_pub
0,Python Developer,3 - 5  Years,python coding,4 days ago
1,Python Developer,5 - 8  Years,advanced python programming,5 days ago
2,Python Developer,0 - 3  Years,rest,5 days ago
3,Python Developer,3 - 6  Years,software engineering,6 days ago
4,Python Developer,1 - 5  Years,python programming,6 days ago
5,Python Developer,7 - 10  Years,python core,6 days ago
6,Python Intern,0 - 1  Years,python development,6 days ago
